,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
3179,M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,negative
3180,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,negative
3181,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,negative
3182,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,negative
3183,M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,negative
3184,M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,negative
3185,I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,negative
3186,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,negative
3187,I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,negative
3188,I,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,negative
3189,I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,negative
3190,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,negative
3191,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,negative
3192,I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,negative
3193,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,negative
3194,M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,negative
3195,F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,negative
3196,M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,negative
3197,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,negative
3198,M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,negative
3199,M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,negative
3200,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,negative
3201,F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,negative
3202,M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,negative
3203,M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,negative
3204,M,0.635,0.48,0.145,1.181,0.665,0.229,0.225,negative
3205,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,negative
3206,M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,negative
3207,M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,negative
3208,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,negative
3209,M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,negative
3210,I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,negative
3211,I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,negative
3212,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,negative
3213,I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,negative
3214,I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,negative
3215,I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,negative
3216,I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,negative
3217,I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,negative
3218,I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,negative
3219,I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,negative
3220,M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,negative
3221,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,negative
3222,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,negative
3223,I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,negative
3224,I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21,negative
3225,I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,negative
3226,F,0.575,0.45,0.12,0.9585,0.447,0.169,0.275,negative
3227,I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,negative
3228,F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,negative
3229,F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275,negative
3230,F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,negative
3231,M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,negative
3232,M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,negative
3233,M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,negative
3234,F,0.625,0.495,0.16,1.234,0.6335,0.192,0.35,negative
3235,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,negative
3236,M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,negative
3237,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,negative
3238,F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,negative
3239,F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,negative
3240,F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,negative
3241,F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,negative
3242,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,negative
3243,I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,negative
3244,M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,negative
3245,M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,negative
3246,F,0.63,0.515,0.16,1.336,0.553,0.3205,0.35,negative
3247,F,0.64,0.49,0.18,1.36,0.653,0.347,0.305,negative
3248,I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,negative
3249,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,negative
3250,I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,negative
3251,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,negative
3252,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,negative
3253,I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,negative
3254,I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,negative
3255,I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,negative
3256,I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,negative
3257,M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,negative
3258,I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,negative
3259,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,negative
3260,M,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,negative
3261,M,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,negative
3262,I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,negative
3263,M,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,negative
3264,M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,negative
3265,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,negative
3266,M,0.585,0.51,0.16,1.218,0.639,0.241,0.3,negative
3267,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,negative
3268,M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,negative
3269,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,negative
3270,M,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,negative
3271,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,negative
3272,M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,negative
3273,M,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,negative
3274,F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,negative
3275,F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,negative
3276,M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,negative
3277,F,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,negative
3278,M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,negative
3279,F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,negative
3280,M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,negative
3281,F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,negative
3282,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,negative
3283,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,negative
3284,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,negative
3285,I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,negative
3286,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,negative
3287,F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,negative
3288,F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,negative
3289,M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,negative
3290,F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,negative
3291,M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,negative
3292,I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,negative
3293,M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,negative
3294,I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,negative
3295,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,negative
3296,I,0.5,0.385,0.12,0.516,0.197,0.1305,0.165,negative
3297,I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,negative
3298,M,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,negative
3299,I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,negative
3300,I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,negative
3301,I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,negative
3302,I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,negative
3303,M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,negative
3304,F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,negative
3305,F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,negative
3306,M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,negative
3307,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,negative
3308,F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,negative
3309,F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,negative
3310,F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,negative
3311,M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,negative
3312,F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,negative
3313,M,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,negative
3314,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,negative
3315,M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,negative
3316,I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,negative
3317,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,negative
3318,I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,negative
3319,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,negative
3320,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,negative
3321,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,negative
3322,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,negative
3323,M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,negative
3324,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,negative
3325,F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,negative
3326,F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,negative
3327,F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,negative
3328,M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,negative
3329,I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,negative
3330,I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,negative
3331,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,negative
3332,M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,negative
3333,F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,negative
3334,M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,negative
3335,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,negative
3336,M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,negative
3337,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,negative
3338,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,negative
0,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,negative
1,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,positive
2,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,negative
3,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,negative
4,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,negative
5,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,negative
6,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,negative
7,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,negative
8,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,negative
9,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,negative
10,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,negative
11,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,negative
12,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,negative
13,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,negative
14,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,negative
15,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,negative
16,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,negative
17,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,negative
18,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,negative
19,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,negative
20,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,negative
21,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,negative
22,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,negative
23,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,negative
24,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,negative
25,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,negative
26,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,negative
27,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,negative
28,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,negative
29,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,negative
30,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,negative
31,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,negative
32,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,negative
33,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,negative
34,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,negative
35,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,negative
36,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,negative
37,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,negative
38,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,negative
39,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,negative
40,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,negative
41,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,negative
42,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,negative
43,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,negative
44,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,negative
45,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,negative
46,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,negative
47,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,negative
48,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,negative
49,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,negative
50,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,negative
51,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,negative
52,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,negative
53,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,negative
54,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,negative
55,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,positive
56,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,negative
57,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,negative
58,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,negative
59,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,negative
60,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,negative
61,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,negative
62,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,negative
63,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,negative
64,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,negative
65,F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,negative
66,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,negative
67,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,negative
68,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,negative
69,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,positive
70,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,negative
71,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,negative
72,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,negative
73,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,negative
74,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,negative
75,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,negative
76,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,negative
77,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,negative
78,M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,negative
79,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,negative
80,F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,negative
81,M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,negative
82,I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,negative
83,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,negative
84,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,positive
85,F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,negative
86,F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,negative
87,I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,negative
88,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,negative
89,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,negative
90,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,negative
91,F,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,negative
92,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,negative
93,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,negative
94,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,negative
95,I,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,negative
96,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,negative
97,M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,negative
98,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,negative
99,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,negative
100,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,negative
101,M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,negative
102,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,positive
103,F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,negative
104,M,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,negative
105,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,negative
106,I,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,negative
107,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,negative
108,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,negative
109,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,negative
110,F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,negative
111,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,negative
112,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,negative
113,M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,negative
114,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,negative
115,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,negative
116,F,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,negative
117,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,negative
118,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,negative
119,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,negative
120,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,negative
121,F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,negative
122,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,negative
123,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,negative
124,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,positive
125,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,negative
126,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,negative
127,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,negative
128,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,negative
129,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,negative
130,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,negative
131,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,negative
132,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,negative
133,M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,negative
134,M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,negative
135,I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,negative
136,M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,negative
137,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,negative
138,I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,negative
139,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,negative
140,M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,negative
141,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,negative
142,M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,negative
143,F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,negative
144,M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,negative
145,F,0.55,0.43,0.155,0.785,0.289,0.227,0.233,negative
146,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,negative
147,M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,negative
148,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,negative
149,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,negative
150,I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,negative
151,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,negative
152,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,negative
153,F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,negative
154,F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,negative
155,F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,negative
156,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,negative
157,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,negative
158,F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,negative
159,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,negative
160,F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,negative
161,F,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,negative
162,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,negative
163,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,negative
164,M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,negative
165,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,negative
166,F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,negative
167,M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,negative
168,M,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,negative
169,F,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,negative
170,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,negative
171,I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,negative
172,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,negative
173,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,negative
174,I,0.44,0.325,0.09,0.35,0.148,0.067,0.105,negative
175,I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,negative
176,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,negative
177,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,negative
178,M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,negative
179,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,negative
180,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,negative
181,I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,negative
182,M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,negative
183,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,negative
184,F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,negative
185,F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,negative
186,F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,negative
187,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,negative
188,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,negative
189,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,negative
190,M,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,negative
191,M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,negative
192,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,negative
193,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,negative
194,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,negative
195,F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,negative
196,F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,negative
197,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,negative
198,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,negative
199,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,negative
200,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,negative
201,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,negative
202,M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,negative
203,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,negative
204,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,negative
205,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,negative
206,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,negative
207,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,negative
208,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,negative
209,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,negative
210,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,negative
211,I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,negative
212,I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,negative
213,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,negative
214,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,negative
215,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,negative
